ticker,market_cap,pe_ratio,roe,div_yield,net_margin_q0,price_cash,peg_ratio,pb_ratio,eps_growth_5y,eps_growth_this_yr,sales_growth_5y,dividend_payout_ratio
AAPL,999999.99,23.14,60.19,1.05,21.49,19.20,2.050,14.31,48.19,14.213625,27.10,24.328613
GOOGL,903614.81,25.49,18.66,0.00,21.22,18.93,1.470,4.49,88.49,5.449961,135.66,0.000000
GOOG,906556.38,25.57,18.66,0.00,21.22,18.99,1.470,4.51,88.49,5.449961,135.66,0.000000
MSFT,999999.99,30.79,40.41,1.23,33.02,26.17,2.240,11.49,67.65,18.315789,49.84,35.540132
FB,527817.63,28.75,19.97,0.00,26.15,21.80,1.150,5.23,240.00,44.634526,502.60,0.000000
AMZN,957802.19,83.62,21.07,0.00,4.13,28.70,2.580,15.43,2982.61,19.991308,202.42,0.000000
BRK.B,509025.31,21.37,6.03,0.00,31.98,15.01,2.790,1.19,,9.304703,,0.000000
BRK.A,511560.00,21.47,6.03,0.00,31.98,15.09,0.000,1.20,,-100.000000,,0.000000
BABA,538037.81,34.67,15.82,0.00,34.90,36.58,1.350,4.36,162.07,70.752089,372.65,0.000000
JNJ,374388.38,16.36,39.27,2.68,22.18,12.33,2.370,6.28,-15.24,4.032258,10.52,56.047280
JPM,350341.13,10.86,15.19,3.16,25.49,8.12,2.130,1.53,107.03,2.194656,44.29,33.582121
XOM,212075.09,21.14,5.11,6.94,5.41,7.41,2.020,1.07,-73.81,24.888889,-40.16,103.571737
BAC,233750.05,9.14,11.95,2.69,24.15,7.30,0.980,1.00,,2.721088,13.31,26.277372
WFC,159485.63,8.94,12.11,5.24,18.81,5.87,0.890,0.99,14.29,-7.990868,21.64,50.746395
RDS.B,177876.69,10.79,8.45,8.54,4.50,3.94,0.000,0.93,,,,96.410256
WMT,328885.31,23.47,18.16,1.83,2.84,13.09,4.830,4.03,-8.09,3.651116,7.01,40.847784
RDS.A,176624.59,10.72,8.45,7.31,4.50,3.91,1.760,0.93,,23.019802,,82.051282
V,366910.13,33.33,43.15,0.64,52.60,28.34,1.970,12.32,105.26,12.500000,73.70,21.897810
CVX,182651.58,14.42,8.29,5.31,2.00,4.47,2.700,1.27,-41.10,-4.146730,-33.92,341.724117
PG,300359.56,24.57,27.14,2.45,6.92,20.75,3.320,6.68,15.56,10.176991,-16.19,176.331361
PFE,196719.27,12.02,27.01,4.29,31.44,8.63,2.850,3.09,88.89,-5.084746,15.55,52.961672
TSM,289020.03,26.04,21.27,2.36,32.28,14.12,1.680,5.50,157.69,28.372093,84.47,61.682531
